,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vila Franca do Campo,75,PT,1575856717,82,37.72,-25.43,64.4,6.93
1,Mapiri,98,BO,1575856752,98,-15.31,-68.22,65.86,2.04
2,Victoria,75,BN,1575856722,78,5.28,115.24,82.4,1.12
3,Gweta,100,BW,1575856730,60,-20.21,25.26,75.6,12.82
4,Kalmunai,100,LK,1575856752,79,7.42,81.82,80.76,15.08
5,Mar del Plata,66,AR,1575856574,52,-46.43,-67.52,62.19,3.83
6,Hobart,100,AU,1575856513,36,-42.88,147.33,82.0,3.0
7,New Norfolk,100,AU,1575856696,22,-42.78,147.06,82.0,5.01
8,Ushuaia,75,AR,1575856753,87,-54.81,-68.31,44.6,8.05
9,Cherskiy,100,RU,1575856686,99,68.75,161.3,-23.42,1.57
10,Nanortalik,100,GL,1575856686,61,60.14,-45.24,32.22,3.65
11,Rikitea,100,PF,1575856650,82,-23.12,-134.97,74.26,25.08
12,Nador,0,MA,1575856753,62,35.17,-2.93,59.0,6.93
13,Cape Town,0,ZA,1575856754,68,-33.93,18.42,66.0,9.17
14,Cockburn Town,0,TC,1575856649,77,21.46,-71.14,79.86,21.43
15,Bayevo,95,RU,1575856754,97,53.27,80.77,23.59,5.91
16,Tuktoyaktuk,20,CA,1575856684,68,69.44,-133.03,-16.6,9.17
17,Saint-Philippe,40,CA,1575856704,51,45.36,-73.48,35.6,13.87
18,Coihaique,100,CL,1575856737,55,-45.58,-72.07,60.8,8.05
19,Palmer,93,AU,1575856743,73,-34.85,139.16,82.0,17.22
20,Port Elizabeth,90,US,1575856685,80,39.31,-74.98,46.0,4.09
21,Torbay,75,CA,1575856681,68,47.66,-52.73,26.01,20.8
22,Qaanaaq,0,GL,1575856689,56,77.48,-69.36,-6.52,7.07
23,Najran,32,SA,1575856755,51,17.54,44.22,60.8,2.46
24,Ankang,0,CN,1575856755,56,32.73,108.99,51.3,2.93
25,Ostrovnoy,88,RU,1575856755,95,68.05,39.51,17.11,10.13
26,Jamestown,65,AU,1575856392,25,-33.21,138.6,86.72,14.65
27,Busselton,0,AU,1575856684,30,-33.64,115.35,80.01,8.72
28,Namibe,78,AO,1575856555,78,-15.19,12.15,70.74,15.12
29,Kapaa,20,US,1575856673,69,22.08,-159.32,80.6,5.82
30,Kodiak,90,US,1575856685,87,39.95,-94.76,48.0,4.7
31,Thompson,20,CA,1575856681,75,55.74,-97.86,-20.2,4.7
32,Mandera,46,ET,1575856712,29,3.94,41.86,69.01,1.01
33,Port Hedland,0,AU,1575856741,9,-20.31,118.58,105.8,16.11
34,Faya,20,SA,1575856726,93,18.39,42.45,55.4,2.35
35,Dikson,0,RU,1575856681,85,73.51,80.55,-2.85,19.86
36,Necochea,0,AR,1575856698,89,-38.55,-58.74,55.99,4.0
37,East London,100,ZA,1575856689,75,-33.02,27.91,64.47,10.92
38,Severo-Kurilsk,93,RU,1575856698,72,50.68,156.12,25.38,23.6
39,Fayaoue,100,NC,1575856756,84,-20.65,166.53,78.12,12.37
40,Vaini,100,IN,1575856694,88,15.34,74.49,66.2,4.7
41,Hilo,75,US,1575856693,69,19.71,-155.08,80.6,6.93
42,Albany,75,US,1575856577,51,42.65,-73.75,37.0,16.11
43,Labuhan,64,ID,1575856695,61,-2.54,115.51,87.82,3.06
44,Conde,0,BR,1575856756,80,-11.81,-37.61,80.55,16.06
45,Raymond,20,CA,1575856756,77,49.47,-112.67,1.4,8.05
46,Georgetown,40,GY,1575856692,83,6.8,-58.16,80.6,6.93
47,Mataura,45,NZ,1575856688,67,-46.19,168.86,55.99,18.99
48,Port Alfred,100,ZA,1575856650,77,-33.59,26.89,64.99,4.0
49,Khatanga,73,RU,1575856708,88,71.98,102.47,-8.86,4.41
50,Arraial do Cabo,0,BR,1575856699,77,-22.97,-42.02,72.73,21.45
51,Upernavik,93,GL,1575856696,56,72.79,-56.15,0.12,5.37
52,Fairbanks,40,US,1575856440,92,64.84,-147.72,16.0,2.44
53,Okhotsk,75,RU,1575856726,77,59.36,143.24,-4.79,8.88
54,Kruisfontein,56,ZA,1575856700,89,-34.0,24.73,54.97,5.99
55,Hovd,75,NO,1575856757,86,63.83,10.7,34.0,4.7
56,Clyde River,75,CA,1575856688,75,70.47,-68.59,-14.8,13.87
57,Ternate,40,PH,1575856757,69,14.29,120.72,84.0,2.24
58,Bluff,8,AU,1575856686,22,-23.58,149.07,97.09,17.05
59,Gat,27,SN,1575856724,77,14.69,-16.54,69.8,14.99
60,Castro,90,CL,1575856694,82,-42.48,-73.76,55.4,5.82
61,Halifax,75,CA,1575856586,73,44.65,-63.58,30.0,9.17
62,Taksimo,96,RU,1575856758,88,56.36,114.84,0.37,1.19
63,Honiara,75,SB,1575856758,74,-9.43,159.96,87.8,5.82
64,Mildura,35,AU,1575856758,4,-34.18,142.16,100.99,12.75
65,Dieppe,75,CA,1575856758,79,46.09,-64.74,23.0,6.93
66,Iqaluit,90,CA,1575856722,61,63.75,-68.52,17.6,20.8
67,Ilulissat,87,GL,1575856725,49,69.22,-51.1,-0.4,3.36
68,Tsogni,89,GA,1575856758,82,-2.79,10.1,80.62,13.33
69,Lavrentiya,82,RU,1575856699,88,65.58,-170.99,30.36,25.1
70,Balikpapan,23,ID,1575856758,54,-1.24,116.86,90.21,3.36
71,Mandalgovi,100,MN,1575856759,58,45.76,106.27,23.22,7.72
72,Yulara,40,AU,1575856704,15,-25.24,130.99,96.8,19.46
73,Cabo San Lucas,5,MX,1575856705,78,22.89,-109.91,73.99,4.7
74,Kerchevskiy,100,RU,1575856759,96,59.95,56.29,33.4,16.17
75,Wajid,89,SO,1575856759,81,3.81,43.25,74.3,15.46
76,Gamba,0,CN,1575856759,7,28.28,88.52,24.21,1.41
77,Eyl,5,SO,1575856737,83,7.98,49.82,80.19,15.79
78,Mana,1,NG,1575856759,18,13.03,5.27,67.44,7.94
79,Atuona,0,PF,1575856652,70,-9.8,-139.03,79.41,11.92
80,Salalah,75,OM,1575856759,88,17.01,54.1,78.8,8.05
81,Rundu,13,NA,1575856759,30,-17.91,19.77,71.6,4.7
82,Esperance,0,AU,1575856760,52,-33.86,121.89,64.4,10.29
83,Ponta Delgada,75,PT,1575856760,82,37.73,-25.67,64.4,6.93
84,Roald,100,NO,1575856735,93,62.58,6.12,35.6,16.11
85,Khandyga,0,RU,1575856760,91,62.65,135.58,-35.45,0.98
86,Puerto Ayora,62,EC,1575856686,90,-0.74,-90.35,72.0,1.01
87,Kavaratti,99,IN,1575856718,77,10.57,72.64,82.49,11.95
88,Lompoc,40,US,1575856474,87,34.64,-120.46,55.4,5.84
89,Kuytun,100,RU,1575856738,85,54.34,101.51,23.7,13.06
90,Klaksvik,77,FO,1575856705,69,62.23,-6.59,35.6,31.09
91,Kamenka,100,MD,1575856705,88,48.03,28.7,32.0,5.12
92,Nikolskoye,75,RU,1575856686,93,59.7,30.79,39.0,11.18
93,Barrow,0,AR,1575856684,88,-38.31,-60.23,52.39,4.45
94,Sitka,72,US,1575856688,56,37.17,-99.65,46.99,5.86
95,Ribeira Grande,91,PT,1575856694,90,38.52,-28.7,61.59,13.0
96,Saldanha,100,PT,1575856737,95,41.42,-6.55,43.0,2.24
97,Punta Arenas,75,CL,1575856761,87,-53.16,-70.91,51.8,8.05
98,Cidreira,13,BR,1575856696,86,-30.17,-50.22,71.42,16.26
99,Kieta,100,PG,1575856744,70,-6.22,155.63,84.07,4.74
100,Chama,100,ZM,1575856761,91,-11.22,33.16,70.41,4.97
101,Ankpa,21,NG,1575856761,27,7.37,7.63,72.19,1.5
102,Evensk,0,RU,1575856761,75,61.92,159.24,-8.79,13.18
103,Norman Wells,75,CA,1575856707,75,65.28,-126.83,-16.6,6.93
104,Grand-Santi,54,GF,1575856761,97,4.27,-54.38,71.1,1.88
105,Pevek,100,RU,1575856691,93,69.7,170.27,1.96,14.99
106,Saint George,75,GR,1575856697,100,39.45,22.34,41.0,0.83
107,Karachi,0,PK,1575856630,50,24.87,67.03,55.4,4.7
108,Hasaki,40,JP,1575856716,66,35.73,140.83,48.2,13.87
109,Khovu-Aksy,72,RU,1575856762,78,51.13,93.72,12.33,2.66
110,Sao Joao da Barra,96,BR,1575856720,78,-21.64,-41.05,71.51,9.75
111,Isangel,75,VU,1575856762,78,-19.55,169.27,82.4,11.41
112,Tacoma,90,US,1575856671,100,47.25,-122.44,48.99,1.52
113,Ciudad Bolivar,57,VE,1575856762,82,8.12,-63.55,75.78,8.84
114,Longyearbyen,20,NO,1575856736,60,78.22,15.63,10.4,11.41
115,Luderitz,0,NA,1575856710,93,-26.65,15.16,60.8,5.82
116,Ponta do Sol,100,BR,1575856717,96,-20.63,-46.0,65.79,4.34
117,Alyangula,75,AU,1575856762,62,-13.85,136.42,89.6,10.29
118,Bauchi,52,NG,1575856762,26,10.31,9.85,63.41,2.71
119,Cayenne,68,GF,1575856741,100,4.94,-52.33,73.4,3.36
120,Sao Pedro,75,PT,1575856763,100,41.13,-7.96,57.0,4.7
121,Chuy,100,UY,1575856651,65,-33.69,-53.46,67.33,3.67
122,Narsaq,60,GL,1575856740,27,60.91,-46.05,35.6,21.92
123,Grants,75,US,1575856763,70,35.15,-107.85,44.6,18.34
124,Baoning,40,CN,1575856763,87,25.34,110.03,42.8,2.24
125,Grand Gaube,40,MU,1575856684,94,-20.01,57.66,78.01,3.36
126,Bethel,1,US,1575856738,74,60.79,-161.76,30.2,8.05
127,Phan Thiet,0,VN,1575856763,52,10.93,108.1,81.09,1.43
128,Carnarvon,91,ZA,1575856692,74,-30.97,22.13,55.0,15.26
129,Sao Filipe,61,CV,1575856701,78,14.9,-24.5,68.88,18.32
130,New Glasgow,80,CA,1575856763,80,45.59,-62.65,28.99,14.0
131,Tuatapere,52,NZ,1575856703,67,-46.13,167.69,55.99,18.99
132,San Patricio,11,PY,1575856697,77,-26.98,-56.83,68.25,2.55
133,Pacific Grove,90,US,1575856557,93,36.62,-121.92,57.2,4.7
134,Ambon,76,FR,1575856764,76,47.55,-2.56,52.0,20.8
135,Samalkha,46,IN,1575856764,44,29.24,77.01,61.3,2.73
136,Alta Floresta,100,BR,1575856764,96,-9.87,-56.08,71.94,3.65
137,Butaritari,40,KI,1575856681,71,3.07,172.79,81.09,4.5
138,Tasiilaq,100,GL,1575856727,68,65.61,-37.64,26.6,3.36
139,Saskylakh,93,RU,1575856698,92,71.97,114.09,-8.54,5.93
140,Vanavara,100,RU,1575856764,96,60.35,102.28,14.81,3.78
141,Banjar,71,ID,1575856764,63,-7.37,108.54,85.78,3.56
142,Chumikan,41,RU,1575856725,75,54.72,135.31,-8.25,3.51
143,Kichmengskiy Gorodok,97,RU,1575856764,86,59.99,45.81,30.69,11.5
144,Camacha,40,PT,1575856764,77,33.08,-16.33,64.4,4.7
145,Sijunjung,62,ID,1575856764,84,-0.69,100.95,78.93,0.31
146,Hermanus,89,ZA,1575856684,80,-34.42,19.24,64.99,10.0
147,Ilheus,40,BR,1575856765,83,-14.79,-39.05,80.6,4.7
148,Hualmay,99,PE,1575856723,83,-11.1,-77.61,65.73,2.1
149,Mahebourg,40,MU,1575856689,94,-20.41,57.7,78.01,3.36
150,Cessnock,0,AU,1575856765,54,-32.83,151.35,82.4,13.87
151,Husavik,100,CA,1575856765,79,50.56,-96.99,-0.99,5.99
152,Kaduy,90,RU,1575856765,86,59.2,37.15,33.8,8.95
153,Qaqortoq,100,GL,1575856738,27,60.72,-46.03,35.6,21.92
154,Grande-Synthe,100,FR,1575856765,87,51.01,2.3,45.0,18.34
155,Ancud,90,CL,1575856691,82,-41.87,-73.83,55.4,5.82
156,Kattivakkam,40,IN,1575856765,94,13.22,80.32,79.0,14.27
157,Avarua,62,CK,1575856684,65,-21.21,-159.78,78.8,12.75
158,Kurmanayevka,91,RU,1575856766,86,52.51,52.07,26.71,10.0
159,Tiksi,0,RU,1575856686,83,71.64,128.87,-23.96,5.44
160,Riyadh,0,SA,1575856689,76,24.63,46.72,51.8,9.22
161,Kpandae,0,GH,1575856766,72,8.46,-0.01,77.29,3.78
162,Krasnoye,75,RU,1575856766,93,44.87,39.46,41.0,2.24
163,Seymchan,59,RU,1575856722,100,62.93,152.39,-27.76,0.92
164,Port Macquarie,0,AU,1575856766,57,-31.43,152.91,81.0,18.34
165,Constitucion,5,MX,1575856699,18,23.99,-104.67,69.8,3.36
166,Vardo,90,US,1575856699,75,39.62,-77.74,41.0,8.05
167,Yellowknife,5,CA,1575856683,73,62.45,-114.38,-31.0,5.82
168,Nemuro,20,JP,1575856702,53,43.32,145.57,23.0,2.24
169,Nalut,0,LY,1575856766,41,31.86,10.98,57.88,14.85
170,Boyolangu,96,ID,1575856767,68,-8.09,111.9,86.07,7.27
171,Whitewater,90,US,1575856767,100,42.83,-88.73,43.0,4.52
172,Atar,39,MR,1575856706,33,20.52,-13.05,62.92,11.68
173,Esenyurt,75,TR,1575856767,76,41.1,35.56,33.8,1.16
174,Katangli,17,RU,1575856767,84,51.71,143.23,5.94,9.93
175,Bambous Virieux,40,MU,1575856687,94,-20.34,57.76,78.01,3.36
176,Leh,99,IN,1575856720,26,34.16,77.58,3.81,2.8
177,Amarante,75,PT,1575856767,100,41.27,-8.08,57.0,4.7
178,Geraldton,75,CA,1575856767,70,49.72,-86.95,-4.0,6.93
179,Karla,75,EE,1575856767,87,59.37,24.93,45.0,17.22
180,Kitimat,75,CA,1575856767,73,54.02,-128.69,24.01,10.29
181,Kahului,20,US,1575856718,88,20.89,-156.47,84.2,11.41
182,Balakhninskiy,100,RU,1575856768,95,58.01,114.28,10.09,1.9
183,San Juan,73,AR,1575856589,27,-31.54,-68.53,81.88,5.7
184,Pechenga,100,RU,1575856768,86,58.89,41.46,31.91,12.41
185,Sao Jose da Coroa Grande,0,BR,1575856723,78,-8.9,-35.15,79.92,16.15
186,Wagar,96,US,1575856698,86,31.44,-87.99,63.0,8.63
187,Cabo Rojo,40,PR,1575856768,82,18.09,-67.15,78.01,9.17
188,Port Keats,11,AU,1575856768,56,-14.25,129.55,92.48,13.2
189,Lypnyazhka,100,UA,1575856768,90,48.45,31.08,32.43,8.39
190,Igrim,100,RU,1575856768,87,63.19,64.42,27.77,14.88
191,Abaza,26,RU,1575856768,89,52.65,90.1,13.82,5.93
192,Yumen,0,CN,1575856768,41,40.29,97.04,27.07,24.67
193,Airai,0,TL,1575856689,29,-8.93,125.41,88.23,7.81
194,Talnakh,5,RU,1575856719,83,69.49,88.39,-13.0,6.71
195,Dhidhdhoo,0,MV,1575856570,77,6.88,73.1,82.42,12.35
196,Nome,1,US,1575856718,88,30.04,-94.42,66.2,5.82
197,Manta,100,RO,1575856769,79,45.1,24.1,35.19,1.19
198,Kavieng,100,PG,1575856769,64,-2.57,150.8,85.77,4.74
199,Takoradi,35,GH,1575856769,84,4.89,-1.75,79.45,5.3
200,Vila Velha,40,BR,1575856740,69,-3.71,-38.6,86.0,6.93
201,Tautira,75,PF,1575856711,58,-17.73,-149.15,84.2,3.36
202,Mwene-Ditu,100,CD,1575856770,98,-7.01,23.45,64.89,1.19
203,Bela Vista,100,BR,1575856770,98,-22.11,-56.53,69.51,4.9
204,Sobolevo,100,RU,1575856771,92,54.43,31.9,35.73,15.99
205,Daru,0,PG,1575856771,43,-9.07,143.21,90.75,10.04
206,Broken Hill,0,AU,1575856727,5,-31.97,141.45,100.4,10.29
207,Estancia,75,US,1575856771,75,34.76,-106.06,48.99,14.54
208,Elliot,100,ZA,1575856772,97,-31.33,27.85,52.14,3.76
209,Saint-Louis,68,SN,1575856772,77,16.03,-16.5,68.0,4.7
210,Itoman,40,JP,1575856772,64,26.12,127.67,71.6,16.11
211,Nawabganj,0,BD,1575856721,52,24.6,88.27,70.27,4.97
212,Kaitangata,59,NZ,1575856647,58,-46.28,169.85,57.0,8.01
213,Bitkine,100,TD,1575856773,17,11.98,18.21,68.81,8.5
214,Oistins,20,BB,1575856773,74,13.07,-59.53,80.6,16.11
215,Umba,100,RU,1575856773,84,66.69,34.34,25.32,8.48
216,Adrar,0,DZ,1575856773,49,27.87,-0.29,48.2,11.41
217,Berlevag,19,NO,1575856773,57,70.86,29.09,33.91,18.3
218,Zhongxing,0,CN,1575856773,52,19.57,109.85,66.2,6.31
219,Lazarev,0,RU,1575856774,76,52.23,141.51,-2.47,7.45
220,Hambantota,75,LK,1575856713,100,6.12,81.12,75.2,5.82
221,Chokurdakh,36,RU,1575856697,74,70.62,147.9,-26.27,1.43
222,Tripoli,0,GR,1575856774,93,37.51,22.37,55.0,3.36
223,Zhanaozen,100,KZ,1575856774,89,43.35,52.85,35.4,9.75
224,Buraydah,0,SA,1575856774,76,26.33,43.97,51.8,5.82
225,Pangody,100,RU,1575856774,93,65.85,74.49,12.51,21.5
226,Madaoua,0,NE,1575856774,16,14.07,5.96,66.4,7.18
227,Acapulco,5,MX,1575856705,78,16.86,-99.88,80.6,3.36
228,San Quintin,0,PH,1575856703,57,17.54,120.52,81.55,8.03
229,Yelatma,100,RU,1575856774,90,54.97,41.75,31.84,10.2
230,Lebu,97,ET,1575856680,92,8.96,38.73,53.46,2.04
231,Challapalle,20,IN,1575856775,94,16.12,80.93,71.6,3.36
232,Noumea,100,NC,1575856623,49,-22.28,166.46,91.4,14.99
233,Salinopolis,0,BR,1575856775,75,-0.61,-47.36,83.12,18.16
234,Sampit,52,ID,1575856775,54,-2.54,112.95,91.69,2.3
235,Udachnyy,90,RU,1575856737,83,66.42,112.4,-13.0,4.47
236,Dakar,93,SN,1575856775,77,14.69,-17.45,69.8,14.99
237,Alofi,95,NU,1575856698,66,-19.06,-169.92,84.2,14.99
238,San Cristobal,4,HN,1575856703,97,14.68,-86.92,62.53,2.51
239,Caucaia,40,BR,1575856775,69,-3.73,-38.66,86.0,6.93
240,San Rafael,100,AR,1575856775,27,-34.61,-68.33,77.09,21.83
241,Kiama,33,AU,1575856775,42,-34.67,150.86,84.0,10.29
242,Altay,97,CN,1575856775,64,47.83,88.13,13.68,3.09
243,Ledyard,1,US,1575856775,80,41.44,-72.02,44.01,6.93
244,Chebsara,90,RU,1575856776,86,59.2,38.84,33.8,8.95
245,Rocha,98,UY,1575856526,67,-34.48,-54.34,65.44,7.72
246,Saint-Joseph,100,FR,1575856776,81,43.56,6.97,53.01,2.24
247,Salvador,20,BR,1575856776,83,-12.98,-38.48,80.6,11.41
248,Chifeng,91,CN,1575856776,41,42.27,118.96,29.82,5.14
249,Santa Maria,75,BR,1575856689,88,-16.02,-48.01,71.6,3.36
250,Samarai,99,PG,1575856706,64,-10.62,150.67,86.09,3.24
251,Half Moon Bay,90,US,1575856720,93,37.46,-122.43,57.2,9.17
252,Nelson Bay,0,AU,1575856684,54,-32.72,152.14,82.4,13.87
253,Thayetmyo,0,MM,1575856776,49,19.32,95.18,70.93,4.92
254,Macmerry,97,GB,1575856776,81,55.94,-2.91,44.01,11.41
255,Hithadhoo,24,MV,1575856694,77,-0.6,73.08,83.34,19.01
256,Abu Samrah,72,SY,1575856776,79,35.3,37.18,48.61,5.86
257,Talaya,75,RU,1575856777,100,55.79,84.89,30.2,6.71
258,Kargasok,100,RU,1575856734,95,59.06,80.87,22.68,10.94
